gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
PEDS1-UBE2V1,25.13140295010224,-43.280848899715174,3.9216398983099063,-11.036415892843133,2.550029876834684e-28,6.628547661844079e-24,PEDS1-UBE2V1
ENSG00000257379,35.77106916086035,-8.66984505655818,1.7541228916795644,-4.94255282664765,7.710620294445927e-07,0.010021493196691371,ENSG00000257379
NDUFC2-KCTD14,20.315207452471313,-4.10086951995332,0.9575843153033795,-4.2825153403375165,1.8479238764335347e-05,0.160116444146711,NDUFC2-KCTD14
ZW10,627.3205796698207,-0.07516943908583501,0.33647985682091747,-0.22339952173078215,0.8232245765261226,0.9999557431835294,ZW10
ZUP1,265.7378425626011,-0.05433837063300735,0.23372111932631742,-0.23249234296683752,0.8161556337339257,0.9999557431835294,ZUP1
ZSWIM9,111.81707171179647,-0.028432404198100655,0.28480820395358253,-0.09983000420428377,0.9204792871207745,0.9999557431835294,ZSWIM9
ZSWIM8-AS1,19.196440960010957,0.3491415965940308,0.7814408352842984,0.44679210610616293,0.6550251714056627,0.9999557431835294,ZSWIM8-AS1
ZSWIM8,1011.5252241696613,-0.11202221172404045,0.29424242728719785,-0.38071400088981805,0.7034154786909808,0.9999557431835294,ZSWIM8
ZSWIM7,151.3691801510669,0.08193544563056072,0.17789533363181823,0.4605823208389419,0.6450982979100475,0.9999557431835294,ZSWIM7
ZSWIM6,348.8765308092152,-0.09755123146911775,0.22559887654970176,-0.4324100942392158,0.6654433829066932,0.9999557431835294,ZSWIM6
ZSWIM5,2.901410371787692,-0.5826196785147943,0.9438487829079796,-0.6172807435527484,0.53704956593667,0.9999557431835294,ZSWIM5
ZSWIM4,91.40650584517368,0.018139525179571944,0.5672033981978313,0.03198063558364855,0.9744874935635769,0.9999557431835294,ZSWIM4
ZSWIM3,107.69430413572205,-0.04522068674213694,0.19518063665361127,-0.23168633691051266,0.8167816442359884,0.9999557431835294,ZSWIM3
ZSWIM1,173.82757089573406,-0.06741911013080108,0.20379784766016648,-0.33081365139450664,0.7407852486224187,0.9999557431835294,ZSWIM1
ZSCAN9,221.19813360257712,-0.05332229216079502,0.1705686750793493,-0.31261479949931753,0.7545733329378362,0.9999557431835294,ZSCAN9
ZSCAN5A-AS1,13.26663377085864,0.12153205968394742,0.5305987212322314,0.22904702710498145,0.818832365185677,0.9999557431835294,ZSCAN5A-AS1
ZSCAN5A,99.39424502895358,0.05867100060819394,0.23874874253613915,0.24574370522313002,0.805880637505385,0.9999557431835294,ZSCAN5A
ZSCAN4,4.837118667091469,0.8149803497021447,1.201184514097687,0.6784805665883452,0.49746704141113385,0.9999557431835294,ZSCAN4
ZSCAN32,348.35628944206496,0.024082048241132647,0.16791789787726452,0.14341561290110258,0.8859619531226626,0.9999557431835294,ZSCAN32
AAR2,591.4342144877286,0.036547270150693645,0.19517534653837154,0.1872535174082985,0.851461866016658,0.9999557431835294,AAR2
AAMP,857.5003844810589,-0.022350974380362675,0.21360575136588875,-0.10463657573562862,0.9166641907607288,0.9999557431835294,AAMP
AAMDC,126.27174890238678,0.15163392163942868,0.23107713577688296,0.6562047825702633,0.5116923721026245,0.9999557431835294,AAMDC
AAK1,1407.6571788751583,-0.1823417475263548,0.15979837646563738,-1.1410738429220844,0.2538391952447212,0.9999557431835294,AAK1
AAGAB,902.4590470295929,-0.05042162997876509,0.23374471178554893,-0.21571238807329618,0.8292119442646724,0.9999557431835294,AAGAB
AADAT,11.002531153968121,0.27772595899786806,0.6330497714196648,0.43871109593017527,0.6608708860664583,0.9999557431835294,AADAT
AADACP1,1.5551981720874006,-0.7247539828150009,1.6399798019025782,-0.44192860300730363,0.6585408718366355,0.9999557431835294,AADACP1
AACS,752.0499579813295,0.10827352284230153,0.24801997278804647,0.4365516277789055,0.6624365498093419,0.9999557431835294,AACS
AAAS,444.5003272923834,0.03998935742396395,0.12623215303977361,0.3167921679301785,0.7514013074556415,0.9999557431835294,AAAS
A4GALT,20.93698780821928,0.18582688898923563,0.5418409961843925,0.342954649607202,0.731632577665944,0.9999557431835294,A4GALT
A2ML1,8.34412487196809,-0.03127306827827514,0.5942407527945346,-0.05262693299173332,0.9580291572766911,0.9999557431835294,A2ML1
A2M-AS1,13.76294583426984,0.46985334404867324,0.5582002718478469,0.8417289774748531,0.39993967435591127,0.9999557431835294,A2M-AS1
A2M,92.37205461274716,0.1775550281431528,0.4543703245755968,0.3907716207236851,0.6959660537424468,0.9999557431835294,A2M
A1BG-AS1,104.21479685977116,-0.17731270400666824,0.19466632459923502,-0.9108545320907807,0.3623720252270959,0.9999557431835294,A1BG-AS1
A1BG,94.67117832101832,0.27589762998521755,0.20992811105679984,1.31424814235845,0.18876271227934105,0.9999557431835294,A1BG
ZWILCH,626.0285166759475,0.023076017272587894,0.31533708004526195,0.07317888929927198,0.9416637652383273,0.9999557431835294,ZWILCH
ABCB7,531.9733455638788,-0.040229221335203756,0.16944738719236457,-0.2374142322391414,0.8123354495954158,0.9999557431835294,ABCB7
ABCB6,97.67421775298193,-0.018180497060496625,0.32678788045,-0.05563393916402698,0.9556334268210083,0.9999557431835294,ABCB6
ABCB5,8.655166953181334,0.11646428273805327,0.7730529289383862,0.15065499188780088,0.8802478791579265,0.9999557431835294,ABCB5
ABCB4,8.39438525914699,-0.20668761655625267,0.6647261676117536,-0.31093648276078195,0.7558489089693242,0.9999557431835294,ABCB4
ABCB11,14.703696410733283,0.3934028297178038,0.5424435124355442,0.7252420218861956,0.46830356730693323,0.9999557431835294,ABCB11
ABCB10,1775.121191717145,-0.04323496483641436,0.30613781361599335,-0.14122713011417307,0.8876905141353721,0.9999557431835294,ABCB10
ABCB1,869.9112216486318,-0.4524188993560182,0.34564477599788795,-1.308912880427224,0.1905638630235439,0.9999557431835294,ABCB1
ABCA9,17.79642796115844,0.1056911212098146,0.4395514515739587,0.2404522174397394,0.8099797016533637,0.9999557431835294,ABCA9
ABCA8,9.167648783262434,0.6892195756467292,0.6000575508476932,1.148589122281818,0.2507254445436964,0.9999557431835294,ABCA8
ABCA7,1378.9977794650013,-0.036731310623682296,0.2981206752480307,-0.12320953785953473,0.9019411729984431,0.9999557431835294,ABCA7
ABCA6,10.727801636411998,0.06342024910438983,0.5321440509741138,0.11917872423509424,0.9051337621029958,0.9999557431835294,ABCA6
