gene,"GSE336399_human (Cancer vs Benign, nasal) log2FC",GSE334363_mouse (Sildenafil vs Control) log2FC,"GSE336399_human (Cancer vs Benign, nasal) padj",GSE334363_mouse (Sildenafil vs Control) padj
SLC18A2,-0.53,,nan,
SLC6A3,-1.38,,nan,
HSPA8,0.06,-0.06,0.7963080880221924,0.2900009879242363
TMTC1,-0.04,0.1,0.9253682452965624,0.8469635793495395
DBH,-0.64,,nan,
ANKK1,0.05,,0.9514693229321332,
DRD5,0.48,,nan,
PPP1R1B,-0.02,-0.02,0.9830212861208792,nan
DRD1,0.01,,nan,
DRD2,0.59,,0.4478604119522235,
GYPE,-0.21,,nan,
TLR2,-1.58,0.57,0.0183271607170366,0.0084192248197325
JAK2,-0.42,0.29,0.1175842057315979,7.155441220223755e-05
NFKB1,-0.45,-0.03,0.0587523572465287,0.4397233636214019
HMGB1,-0.04,-0.12,0.8139353277472808,0.1286011418468463
LAMP2,-0.39,0.48,0.3100312324998702,1.0998707898849193e-15
IL13,-0.32,,nan,
TLR4,-1.8,0.7,0.0184022825392554,3.55857837033611e-13
IFT88,-0.03,-0.1,0.9611538943812729,0.2596061418763374
ATG7,-0.28,-0.02,0.4040907304095697,0.8354403528418297
TRAF6,-0.13,-0.05,0.4257553009767237,0.4902961568037555
ARL13B,-0.01,-0.0,0.9851359035389212,0.9763607291250144
PCBP2,-0.17,-0.56,0.4718511241813617,0.0006467148358556
FTL,-0.62,,0.1327599936365918,
FTH1,-0.84,0.03,0.0858395508838059,0.766681650730714
