family,gene,in_683_set,baseMean,log2FC,pvalue,padj
IFT-A (retrograde complex),IFT122,True,502.4,0.093,0.548488672775755,0.9999967806651208
IFT-A (retrograde complex),IFT140,True,192.0,0.138,0.4762600844515187,0.9999967806651208
IFT-A (retrograde complex),IFT43,True,56.8,0.1,0.7034993286823675,0.9999967806651208
IFT-A (retrograde complex),WDR19,True,242.5,0.031,0.9037320622454732,0.9999967806651208
IFT-A (retrograde complex),WDR35,True,139.2,0.058,0.8547822513579243,0.9999967806651208
IFT-A (retrograde complex),TTC21B,True,672.2,0.101,0.4915348785251259,0.9999967806651208
IFT-B (anterograde complex),IFT20,True,265.5,-0.002,0.9921929817017588,0.9999967806651208
IFT-B (anterograde complex),IFT22,True,128.7,0.1,0.6459268575880149,0.9999967806651208
IFT-B (anterograde complex),IFT27,True,247.6,-0.034,0.8807357875360461,0.9999967806651208
IFT-B (anterograde complex),IFT46,True,353.9,-0.013,0.9504406210965866,0.9999967806651208
IFT-B (anterograde complex),IFT52,True,283.3,-0.092,0.6025786121643009,0.9999967806651208
IFT-B (anterograde complex),IFT57,True,159.5,0.014,0.9634708502663276,0.9999967806651208
IFT-B (anterograde complex),IFT74,True,126.5,0.076,0.7366380565206376,0.9999967806651208
IFT-B (anterograde complex),IFT80,True,446.9,0.023,0.8792636263124536,0.9999967806651208
IFT-B (anterograde complex),IFT81,True,203.4,0.107,0.6964481164002084,0.9999967806651208
IFT-B (anterograde complex),IFT88,True,122.7,-0.037,0.8924239790147326,0.9999967806651208
IFT-B (anterograde complex),IFT172,True,304.7,0.177,0.4138488180756841,0.9999967806651208
IFT-B (anterograde complex),HSPB11,True,,,,
IFT-B (anterograde complex),RABL4,False,,,,
IFT-B (anterograde complex),TRAF3IP1,True,133.1,-0.082,0.7522658447668438,0.9999967806651208
IFT-B (anterograde complex),TTC26,True,86.8,0.042,0.888742996965058,0.9999967806651208
IFT-B (anterograde complex),TTC30A,True,31.9,-0.026,0.9405168105199224,0.9999967806651208
IFT-B (anterograde complex),TTC30B,True,39.5,-0.086,0.8171662271562139,0.9999967806651208
IFT-B (anterograde complex),CLUAP1,True,151.9,0.074,0.7814650510778762,0.9999967806651208
BBSome + chaperonins,BBS1,True,140.7,0.519,0.0933635688988176,0.9999967806651208
BBSome + chaperonins,BBS2,True,529.1,0.024,0.8782494008320246,0.9999967806651208
BBSome + chaperonins,BBS4,True,281.8,-0.167,0.4051308878774884,0.9999967806651208
BBSome + chaperonins,BBS5,True,58.6,0.241,0.4229323871625241,0.9999967806651208
BBSome + chaperonins,BBS7,True,202.5,0.025,0.9013436125894336,0.9999967806651208
BBSome + chaperonins,BBS9,True,86.7,-0.26,0.3807066706341134,0.9999967806651208
BBSome + chaperonins,BBS10,True,138.3,0.027,0.9082087791324296,0.9999967806651208
BBSome + chaperonins,BBS12,True,46.6,0.28,0.4809521175212429,0.9999967806651208
BBSome + chaperonins,BBIP1,True,271.9,-0.066,0.6964826072887653,0.9999967806651208
BBSome + chaperonins,ARL6,True,40.8,0.195,0.6023920878070208,0.9999967806651208
BBSome + chaperonins,MKKS,True,641.8,0.033,0.859496675420117,0.9999967806651208
BBSome + chaperonins,TTC8,True,111.0,-0.048,0.8640708617623961,0.9999967806651208
BBSome + chaperonins,CCDC28B,True,77.4,0.229,0.4472408240726875,0.9999967806651208
Dynein-2 motor (retrograde),DYNC2H1,True,62.3,0.314,0.4578242547520231,0.9999967806651208
Dynein-2 motor (retrograde),DYNC2LI1,True,176.0,0.121,0.5237568063393233,0.9999967806651208
Dynein-2 motor (retrograde),WDR34,True,,,,
Dynein-2 motor (retrograde),WDR60,True,,,,
Dynein-2 motor (retrograde),TCTEX1D2,True,,,,
Kinesin-2 motor (anterograde),KIF3A,True,309.5,-0.069,0.7663786995107367,0.9999967806651208
Kinesin-2 motor (anterograde),KIF3B,True,340.9,-0.038,0.8862697174532603,0.9999967806651208
Kinesin-2 motor (anterograde),KIF3C,True,244.4,-0.069,0.7207728064835057,0.9999967806651208
Kinesin-2 motor (anterograde),KIFAP3,False,258.9,-0.031,0.910473030623832,0.9999967806651208
