gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
IGKC,646.4669983112211,-1.7552989929325165,0.21134888688320685,-8.305219955582304,9.963470084745378e-17,1.9917973046414487e-12,IGKC
RORA,173.70765405353765,-2.6617176639022775,0.3846180836389032,-6.920417362385951,4.503149461588461e-12,4.501123044330746e-08,RORA
TRBC1,93.00119952305364,-3.199906387400884,0.5245465934113049,-6.100328221732992,1.0585088280894269e-09,7.053549994111911e-06,TRBC1
ZAP70,114.733375748408,-2.657788693004481,0.445421828761516,-5.966902655836142,2.417995640677634e-09,1.2084537713196645e-05,ZAP70
TCF7,134.33010398839264,-2.2575207642883424,0.38574872604369465,-5.85230905994652,4.847946698806543e-09,1.938306049116832e-05,TCF7
MIAT,541.6868652510294,-1.2870099252702458,0.22412711983163486,-5.742321260528635,9.338743193159427e-09,3.1115135862408356e-05,MIAT
IGHM,392.863358367933,-1.3924073080522523,0.2597672199030284,-5.360211764101877,8.312445460289929e-08,0.00023739156742379422,IGHM
LCK,74.25632525324056,-2.874106064803281,0.5587464262212424,-5.143846886396449,2.6916893890168026e-07,0.0006726195321979363,LCK
S100A8,376.7536286182283,1.197659789913182,0.24520532098724945,4.884314031568098,1.0378954750624562e-06,0.002305396493552618,S100A8
TIGIT,41.35910660197385,-4.314940137467103,0.8981513260777086,-4.804246246911148,1.5533556163543617e-06,0.0031053132126540044,TIGIT
PPM1H,2921.166868501619,-0.5814565779317907,0.12271066373662394,-4.738435603117438,2.153744489941804e-06,0.003914136918038782,PPM1H
BCL11B,47.652123682048405,-3.0718837185061587,0.6607024289583286,-4.649420955435758,3.3286822004547976e-06,0.005417398506751108,BCL11B
TSPOAP1,1480.517464271366,0.6551397807481881,0.1412636158137491,4.637710687031867,3.5228943318375467e-06,0.005417398506751108,TSPOAP1
CD3E,50.92360101165289,-2.9584036887944563,0.6528185963846231,-4.531739299674369,5.850001812252361e-06,0.008353384730624067,CD3E
SLC45A3,4128.395770430745,-0.4795565909450101,0.10836206635071967,-4.42550245759341,9.621806130089432e-06,0.010686084797034324,SLC45A3
RPS27P19,83.3794489644873,-3.544453784803827,0.7972218997013713,-4.446006546146728,8.748128347500869e-06,0.010686084797034324,RPS27P19
PALM2AKAP2,5088.646930953769,-0.4755094157092512,0.10675564748543864,-4.454185112540395,8.421242165554776e-06,0.010686084797034324,PALM2AKAP2
CAT,2339.210676418698,0.5327901206828226,0.12009338757202569,4.436465083169407,9.144816029982549e-06,0.010686084797034324,CAT
NELL2,44.76823989634208,-2.9354699245323217,0.6847452416195594,-4.286951914538827,1.811414842966833e-05,0.018399412506472857,NELL2
GATA2,5343.9953732534905,-0.44615370921944514,0.10415931019170915,-4.283378109919145,1.8407695969659204e-05,0.018399412506472857,GATA2
MGST1,932.4724424467278,0.745243978211159,0.17667676662467965,4.218120992639093,2.4634662660119907e-05,0.022560655968875114,MGST1
TIMP3,7506.436278862098,-0.467185779328045,0.11080314402224879,-4.216358510858105,2.482789411811578e-05,0.022560655968875114,TIMP3
PROM1,290.25580792227987,1.0775874203567626,0.2570626639948165,4.191925048977519,2.7659738400928642e-05,0.02404112305969411,PROM1
LINC00861,65.06728895532163,-2.3036405188144338,0.5519093085274202,-4.1739475729461875,2.99366674268809e-05,0.024935996605449002,LINC00861
GZMA,55.72610116235882,-3.5272488639132296,0.8508709528664714,-4.145456901578783,3.3913678705000464e-05,0.02711873403966657,GZMA
ENSG00000259001,149.5987907710183,-2.0211880238044517,0.490152895912877,-4.123586824964329,3.730177589310074e-05,0.027618511180702847,ENSG00000259001
HLA-DRA,2678.8092464589686,0.4850996950524922,0.11748734137437167,4.128952867413428,3.644190893813653e-05,0.027618511180702847,HLA-DRA
H2AZ1,2590.2386353967177,0.5548058303069295,0.13565477794680975,4.089836264554346,4.316778152886276e-05,0.030820254305124833,H2AZ1
LY9,47.77687264586287,-2.6004393944679496,0.6371283565832498,-4.081500011102025,4.474597557972697e-05,0.03084540682118351,LY9
TVP23C-CDRT4,103.1928124119238,-1.662284539692358,0.4097035566905089,-4.057286085383076,4.9646254039602626e-05,0.03308260881685654,TVP23C-CDRT4
LTBP1,1250.0428133344512,-0.6468544341383877,0.16159645633087805,-4.002899870612979,6.257078835885985e-05,0.04035008484135378,LTBP1
CPNE3,769.783869551844,0.6800483695597516,0.1722869388333811,3.9471847034059104,7.907555250785045e-05,0.049399980318263696,CPNE3
DNM1P47,61.264777012611354,-9.284989483552739,2.3569304426869255,-3.93944145121557,8.167152977233924e-05,0.049475622778146475,DNM1P47
AHNAK,39959.175871247055,-0.38093045015457,0.09820438436825102,-3.878955635281421,0.00010490588331528561,0.06168157392223161,AHNAK
PREX1,2821.254577513333,-0.5103570327591128,0.13422885523277794,-3.80214099177154,0.00014345104841560828,0.08193514025361215,PREX1
PPA1,1251.842500319607,0.5539480090459666,0.1460381784982944,3.79317254393471,0.00014873472969670232,0.08259322170463267,PPA1
IGKV2D-28,59.37809932747658,-2.3606190468077424,0.6255829463172154,-3.773470905344564,0.00016099200186382983,0.08469450287525848,IGKV2D-28
CROT,2095.8428900457557,-0.4955586139438174,0.13132227875109595,-3.7736065704668693,0.0001609044390729144,0.08469450287525848,CROT
PAICS,1904.9628609597578,0.5740684961533931,0.15265188487061357,3.76063811226418,0.00016948046915018562,0.08687395022516309,PAICS
ENO1,12806.365864594742,0.4088912283708824,0.10898009739908512,3.7519807573076642,0.00017544293319185738,0.08768199193596052,ENO1
CAMK4,56.47111675632452,-2.115630578523195,0.5672778517047559,-3.729443291616982,0.00019190328762845306,0.09356923470683914,CAMK4
TLN1,6477.629087460566,-0.3866949722946815,0.10545230384796961,-3.6670130303855566,0.00024540029445203367,0.10623242990294099,TLN1
CD6,58.702123187205515,-2.137932910428723,0.5800234297677617,-3.6859423269931355,0.00022785795191238476,0.10623242990294099,CD6
TRAC,107.17152277275105,-1.7071115702257496,0.46608871399409796,-3.662632282161131,0.0002496367664744189,0.10623242990294099,TRAC
IGF2R,643.4680501194166,-0.6863196503928457,0.1873402716331677,-3.6634923415544796,0.0002487996585470222,0.10623242990294099,IGF2R
ENSG00000274333,319.5283837693755,-0.8670128099467826,0.23672657317050183,-3.6625073321292008,0.0002497586016426505,0.10623242990294099,ENSG00000274333
FAM156B,108.69756830638691,-4.214222013117953,1.144295211351653,-3.6828101448926565,0.00023067695937918127,0.10623242990294099,FAM156B
FAM72C,71.26005335760277,1.8724330182023512,0.5222683088472576,3.585193637988788,0.00033682819675737136,0.13018795774253558,FAM72C
CD3D,21.016501661217145,-3.5505848448486015,0.9999712889637766,-3.5506867887456113,0.00038422737766042713,0.13018795774253558,CD3D
CD2,79.99847327569721,-1.6925284359725623,0.4740450136204889,-3.5703960327437754,0.0003564419105750939,0.13018795774253558,CD2
MS4A2,10058.34507079346,-0.34233287667549184,0.09605692030844372,-3.56385438525661,0.0003654487366812677,0.13018795774253558,MS4A2
LIMS3,21.129080646468577,3.5977921305186085,1.0102380923248944,3.561330896005802,0.0003689797201466749,0.13018795774253558,LIMS3
SOX4,1686.1851575662279,-0.4983378856909675,0.13909104811159373,-3.5828178193836564,0.00033990767516501653,0.13018795774253558,SOX4
ENSG00000257379,27.235830362928084,-8.116468041804227,2.26980740618164,-3.5758399676112043,0.00034910517164830375,0.13018795774253558,ENSG00000257379
EIF4A1,7009.997380057821,0.3922620847621388,0.10951895660482226,3.581682084294684,0.0003413890747409474,0.13018795774253558,EIF4A1
SEMA7A,6633.423218931408,-0.3577690210515755,0.10007674575134577,-3.574946590894363,0.000350299398315932,0.13018795774253558,SEMA7A
HSPD1,4296.448104108021,0.40383473375391055,0.11212068564558132,3.601786159517886,0.0003160382854071015,0.13018795774253558,HSPD1
RAPGEF2,9196.600891814132,-0.3482523552742313,0.09806521139316794,-3.5512323924740303,0.00038343169534625735,0.13018795774253558,RAPGEF2
TPSAB1,4941.157463742562,-0.3723089346230712,0.10460708771520286,-3.559117673141783,0.0003721027935862149,0.13018795774253558,TPSAB1
IGHV3-23,26.28701721815898,-3.1288843237658144,0.8833514404542318,-3.5420605893356534,0.0003970142706804734,0.1322785380862224,IGHV3-23
KNTC1,1554.6499586091156,0.5486693829941802,0.1552370062914426,3.534398118732759,0.0004087049640895845,0.1339413268379489,KNTC1
MT-CO3,78651.84448902663,0.3275546202853182,0.09288977541972175,3.526272066061793,0.000421453772543804,0.13586215574508773,MT-CO3
IL32,125.8918361515457,-1.3720047036393062,0.38997186094616165,-3.518214622743565,0.00043446082871195514,0.13586215574508773,IL32
TUBB,9320.996263728919,0.42670207727426895,0.12129408953867782,3.5179131884922037,0.0004349546279668658,0.13586215574508773,TUBB
RAB31,994.440312126562,0.5828001032893775,0.16609982432173295,3.508734013833164,0.00045024494386863113,0.13847456419812007,RAB31
DEK,3001.0717488921105,0.44303088549907355,0.12690731571977917,3.4909798776086225,0.00048125249798668763,0.139430705612346,DEK
RASGRP1,123.9815201563461,-1.43987512360522,0.4113001296308072,-3.500789374653702,0.0004638823124896636,0.139430705612346,RASGRP1
DHFR,1362.3473301962626,0.5488577544184318,0.15715511528427015,3.492458730507308,0.0004785955454161684,0.139430705612346,DHFR
MIR23AHG,2336.5926296774733,-0.4193584941938301,0.12006639453608597,-3.4927216380083093,0.00047812463252894363,0.139430705612346,MIR23AHG
REXO5,3661.362563556558,-0.42096964153118116,0.12246333681931233,-3.4375156880813873,0.0005870767101666112,0.16529930299916512,REXO5
FGL2,376.6813524215796,0.7866770456208318,0.2286141113728637,3.441069498714285,0.0005794196869151251,0.16529930299916512,FGL2
GLIPR1,1213.4087947202243,0.535082673747122,0.15762142790979236,3.3947330692458446,0.0006869554137839904,0.18850480893866886,GLIPR1
ENSG00000286098,31.578587469479544,8.227762377921236,2.4265705191722025,3.39069576297665,0.0006971544498708019,0.18850480893866886,ENSG00000286098
SDHAP2,33.431383078558795,8.351423973720244,2.470873766514968,3.379947647224192,0.0007249963813988234,0.18850480893866886,SDHAP2
JCHAIN,106.26413794916292,-1.4857375659750285,0.4382517679390713,-3.3901462005775316,0.0006985535844477502,0.18850480893866886,JCHAIN
NME2,1766.7456045725517,0.46405709625091646,0.13731365327097858,3.3795408191138376,0.0007260702460245862,0.18850480893866886,NME2
ZNF831,27.756898045381213,-3.592591286729326,1.0610762212822673,-3.3857994502862634,0.0007097122988011646,0.18850480893866886,ZNF831
NAP1L1,6585.474546657391,0.3599882349444887,0.10683728578191713,3.36950000470172,0.0007530468988849852,0.1905589943748068,NAP1L1
SERPINB1,3525.4927131844083,0.40191166956493285,0.11916897722450802,3.3726199462780704,0.0007445664810059856,0.1905589943748068,SERPINB1
CD28,31.438071281674578,-2.6025898539433188,0.7747063680005954,-3.359453286359611,0.0007809685335986353,0.19515427443962896,CD28
TPSD1,4091.8502536817527,-0.3580556911478027,0.10679299256181489,-3.3528013641957797,0.0007999809716115644,0.1974372790553924,TPSD1
IGKV1-9,22.09764441032631,-3.8731928990517406,1.1572590277639772,-3.3468677332640153,0.0008173019691056753,0.1992522398096531,IGKV1-9
RAN,2880.390181586564,0.4226809590917165,0.12739676578512976,3.3178311591097973,0.0009071930438598957,0.21336113105650795,RAN
KLRF1,38.63814321167657,-3.019254785523983,0.9092070408270395,-3.3207560543939327,0.0008977396751703277,0.21336113105650795,KLRF1
DOCK9,34.24844224753189,-2.4808078269991576,0.7464230922736068,-3.3235946913735077,0.0008886524764215272,0.21336113105650795,DOCK9
MAP3K20,949.7082729743895,0.5558721692566616,0.16826188378988877,3.3036131340998645,0.0009544744817644109,0.221870922848283,MAP3K20
SHCBP1,396.9090737797169,0.8536830625343566,0.2614680647261049,3.264961108839863,0.0010947910727201254,0.2515628544223911,SHCBP1
ABCC1,3043.8233744924964,-0.4084892343058027,0.1263518226145731,-3.23295086570986,0.0012251863313193086,0.2783261357886852,ABCC1
ZFP36L2,3615.297690721716,-0.3663910008717599,0.11569643024689227,-3.1668306454217636,0.0015411003871580774,0.3461588521312036,ZFP36L2
CCR2,357.02515010798163,0.813441939997873,0.25735957617481864,3.1607214780510824,0.0015737890705057813,0.3495735256497897,CCR2
MYC,588.3748540889994,0.6581339848451492,0.20864964872660802,3.1542539796340465,0.0016090898332299262,0.35348697644065336,MYC
GIMAP5,52.534077417615066,-1.7607260002713263,0.5589771150254409,-3.1499071302609405,0.0016332237056781356,0.35488885978490875,GIMAP5
EOMES,27.083816234586656,-3.561970570678902,1.1351936391174828,-3.1377647371668087,0.0017024145953557037,0.36594591586834274,EOMES
PLCG1,330.39832119049197,-0.7621197148909655,0.2436757162855226,-3.127598131271996,0.0017624097508169953,0.3748120566870484,PLCG1
TBX21,25.739887693376005,-3.479063191923409,1.12063059584312,-3.1045584555951677,0.0019056326785973103,0.40100529345093505,TBX21
PTK7,1987.3979313430386,-0.3964861603330292,0.12821558291281762,-3.092339880423324,0.0019858533436080852,0.40751449680632834,PTK7
KANK2,765.8530676619272,-0.5316975467430548,0.1720386095471873,-3.0905710534542488,0.0019977200083547684,0.40751449680632834,KANK2
MPRIP,3434.6672059719654,-0.3662597275207231,0.118390032430955,-3.0936703031509483,0.001976970506134469,0.40751449680632834,MPRIP
SUN2,1782.0969034463722,-0.41455146395277304,0.13487452074261863,-3.0736084300448607,0.002114868176861729,0.42705383559235177,SUN2
RPS18,15781.381428939898,0.2853586846900341,0.09304158974181612,3.0670013859595957,0.0021621785466074406,0.42796149826959745,RPS18
LRRN3,16.81841877665987,-3.4243077859200177,1.1162089597070897,-3.0678017374261253,0.002156396349887674,0.42796149826959745,LRRN3
EGR1,3008.431329515592,-0.36304531328584033,0.11855133235759209,-3.0623469687440483,0.0021960873376113744,0.4304115879038136,EGR1
VAT1,2072.826667299927,-0.3872490220269025,0.12658137092191366,-3.059289208250013,0.0022186285722928024,0.43060780377383895,VAT1
TMEM176B,601.7981253166635,0.5824401282802836,0.19070442825047718,3.0541510421314833,0.0022569841658295754,0.43384010056826,TMEM176B
RPL35,3749.2953837464984,0.3446127916955012,0.1131885526942537,3.0445904951746625,0.002329973215660766,0.44012862481008347,RPL35
